"I, Tonya",Molly's Game,Creed,Black Mass,Taken 3,Hereditary,Star Wars: The Force Awakens,Jackie,Saving Mr. Banks,Moonlight,Tully,Gifted,Jack Ryan: Shadow Recruit,Rush,Run All Night,Red Sparrow,Steve Jobs,Unforgettable,Fruitvale Station,Joy,About Last Night,This Is 40,Blended,Daddy's Home,American Hustle,Wild,Nocturnal Animals,Almost Christmas,Addicted,Battle of the Sexes,Book Club,Self/Less,Florence Foster Jenkins,Ride Along,Death Wish,Bridget Jones's Baby,Non-Stop,Nine Lives,Beauty and the Beast,Neighbors 2: Sorority Rising,Flatliners,Southpaw,San Andreas,La La Land,"Everything, Everything",Adrift,Spy,Rogue One: A Star Wars Story,Skyfall,Oculus,Dirty Grandpa,Winchester,Tyler Perry's Acrimony,Assassin's Creed,Baggage Claim,Gravity,Bad Moms,Tammy,Fences,Wish Upon,Proud Mary,Taken 2,Last Vegas,Daddy's Home 2,Interstellar,Breaking In,Spotlight,Action Point,Blockers,If I Stay,Star Wars: The Last Jedi,Tomb Raider,John Wick,Tomorrowland,Get On Up,Midnight Sun,Chappaquiddick,My Big Fat Greek Wedding 2,Max,Sinister 2,Atomic Blonde,Argo,Me Before You,Marshall,Sicario,Grudge Match,Girls Trip,Get Out,Focus,Megan Leavey,Paranormal Activity: The Ghost Dimension,Wonder,Admission,Allied,Poltergeist,Whiskey Tango Foxtrot,No Good Deed,Begin Again,Neighbors,Beirut,Spectre,Magic Mike,Transcendence,Epic,Rough Night,Maleficent,Jigsaw,Safe Haven,Lights Out,Snowden,Million Dollar Arm,Paddington 2,Sleepless,Pacific Rim,Jersey Boys,Kidnap,Pete's Dragon,10 Cloverfield Lane,Game Night,War Room,Dracula Untold,Escape From Planet Earth,Dolphin Tale 2,Detroit,The Wedding Ringer,Thank You For Your Service,Unsane,Sully,Brick Mansions,Upgrade,I Can Only Imagine,Black Panther,Wind River,Barbershop: The Next Cut,Why Him?,Arrival,Parental Guidance,Lucy,Mad Max: Fury Road,American Made,Don't Breathe,Ride Along 2,American Ultra,Annabelle,Underworld: Blood Wars,Unbroken,Warcraft,Deadpool,Crimson Peak,Annihilation,Unfriended,"Love, Simon",Burnt,Broken City,I Feel Pretty,London Has Fallen,Transformers: Age of Extinction,Dunkirk,Identity Thief,Split,Inferno,Hot Tub Time Machine 2,Hope Springs,Home Again,Hitman: Agent 47,It Comes At Night,Happy Death Day,Hacksaw Ridge,Goosebumps,Jackass Presents: Bad Grandpa,Suicide Squad,Ghost in the Shell,Paranormal Activity: The Marked Ones,ParaNorman,Fifty Shades Darker,Everybody Wants Some!!,Lee Daniels' The Butler,Leap!,Geostorm,Krampus,Fantastic Four,Fifty Shades Freed,Finding Dory,Selma,Turbo,Planes: Fire and Rescue,Sgt. Stubby: An American Hero,Ready Player One,This Is The End,Wonder Woman,Prometheus,Kong: Skull Island,Paper Towns,Ferdinand,It,Grown Ups 2,Fury,Furious 7,Free Birds,Fist Fight,Every Day,Logan Lucky,Downsizing,Despicable Me 3,Captain America: Civil War,Blair Witch,Blade Runner 2049,Bad Samaritan,Jack Reacher: Never Go Back,Hotel Artemis,Mechanic: Resurrection,Miracles From Heaven,Moana,Paddington,Ocean's 8,Den of Thieves,Gringo,God's Not Dead 2,Storks,God's Not Dead,Magic Mike XXL,Project Almanac,Elysium,Trolls,Overboard,Maze Runner: The Death Cure,Hostiles,Planes,Pixels,What To Expect When You're Expecting,Avengers: Infinity War,Ant-Man,Annabelle: Creation,Alien: Covenant,Abraham Lincoln: Vampire Hunter,World War Z,Wreck-It Ralph,X-Men: Apocalypse,Cars 3,Zootopia,Sinister,Keanu,Jason Bourne,12 Strong,Sing,Let's Be Cops,Jurassic World,Life,Logan,Resident Evil: The Final Chapter,Jack Reacher,Lone Survivor,Risen,Insidious: The Last Key,Inside Out,Rings,Show Dogs,Big Hero 6,Pitch Perfect 3,Justice League,Peter Rabbit,Savages,Avengers: Age Of Ultron,Act of Valor,Rise of the Guardians,Captain Underpants: The First Epic Movie,Do You Believe?,Deadpool 2,Project X,Ice Age: Collision Course,Solo: A Star Wars Story,Smurfs: The Lost Village,Red Tails,Resident Evil: Retribution,Frankenweenie,Monster Trucks,Entourage,Jumanji: Welcome to the Jungle,Thor: Ragnarok,Early Man,Dope,Transformers: The Last Knight,Doctor Strange,Home,Sherlock Gnomes,Rampage
17,13,12,12,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990s_KW,true story_KW,health_KW,1980s_KW,wife_KW,family_KW,family_KW,true story_KW,family_KW,1990s_KW,family_KW,brother_KW,assassin_KW,romance_KW,regret_KW,assassin_KW,1980s_KW,murder_KW,family_KW,1980s_KW,romance_KW,daughter_KW,family_KW,wife_KW,suspenseful_KW,1990s_KW,family_KW,family_KW,addiction_KW,true story_KW,romance_KW,suspenseful_KW,true story_KW,family_KW,family_KW,romantic_KW,suspenseful_KW,family_KW,romance_KW,couple_KW,addiction_KW,daughter_KW,family_KW,romance_KW,romance_KW,1980s_KW,unrequited love_KW,suspenseful_KW,family_KW,family_KW,parent_KW,true story_KW,couple_KW,family_KW,family_KW,suspenseful_KW,parent_KW,daughter_KW,father/son_KW,parent_KW,assassin_KW,family_KW,romance_KW,parent_KW,family_KW,suspenseful_KW,scandal_KW,1970s_KW,parent_KW,romantic_KW,son_KW,daughter_KW,assassin_KW,father_KW,fame_KW,romance_KW,true story_KW,family_KW,family_KW,murder_KW,1980s_KW,suspenseful_KW,romance_KW,lawyer_KW,assassin_KW,ex-girlfriend_KW,women_KW,suspenseful_KW,femme fatale_KW,female protagonist_KW,family_KW,siblings_KW,romance_KW,romance_KW,family_KW,female protagonist_KW,suspenseful_KW,couple_KW,culture_KW,1980s_KW,crime_KW,romance_KW,assassin_KW,daughter_KW,crime_KW,romance_KW,murder_KW,crime_KW,siblings_KW,legal_KW,business_KW,touching_KW,father/son_KW,siblings_KW,fame_KW,mother_KW,parent_KW,escape_KW,murder_KW,daughter_KW,father/son_KW,escape_KW,touching_KW,law enforcement_KW,deception_KW,true story_KW,therapy_KW,New York_KW,racy_KW,revenge_KW,touching_KW,revenge_KW,murder_KW,business_KW,daughter_KW,surprise ending_KW,parent_KW,female_KW,escape_KW,1980s_KW,crime_KW,marriage_KW,racy_KW,pregnancy_KW,romance_KW,true story_KW,weapon_KW,revenge_KW,love triangle_KW,female_KW,revenge_KW,touching_KW,therapy_KW,revenge_KW,New York_KW,murder_KW,father_KW,historical_KW,crime_KW,son_KW,historical_KW,murder_KW,marriage_KW,mother_KW,murder_KW,father_KW,murder_KW,true story_KW,father_KW,parent_KW,son_KW,female_KW,murder_KW,touching_KW,sexy_KW,1980s_KW,1980s_KW,touching_KW,racy_KW,tradition_KW,CEO_KW,sex_KW,parent_KW,true story_KW,siblings_KW,touching_KW,touching_KW,escape_KW,celebrity_KW,female_KW,suspenseful_KW,suspenseful_KW,revenge_KW,touching_KW,1980s_KW,marriage_KW,loyalty_KW,revenge_KW,historical_KW,conflict_KW,romantic_KW,brother_KW,romance_KW,siblings_KW,law enforcement_KW,siblings_KW,traitor_KW,crime_KW,racy_KW,assassin_KW,revenge_KW,true story_KW,female_KW,touching_KW,New York_KW,law enforcement_KW,business_KW,lawyer_KW,family_KW,conflict_KW,racy_KW,suspenseful_KW,money_KW,couple_KW,deception_KW,dark_KW,dark_KW,international_KW,1980s_KW,pregnancy_KW,New York_KW,1980s_KW,death_KW,suspenseful_KW,historical_KW,suspenseful_KW,romance_KW,1980s_KW,touching_KW,law enforcement_KW,murder_KW,break-up_KW,assassin_KW,true story_KW,ambition_KW,law enforcement_KW,suspenseful_KW,suspenseful_KW,dark_KW,suspenseful_KW,murder_KW,true story_KW,death_KW,suspenseful_KW,family_KW,death_KW,New York_KW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true story_KW,crime_KW,siblings_KW,true story_KW,murder_KW,suspenseful_KW,father/son_KW,assassin_KW,true story_KW,tragic_KW,relationship_KW,death of a sibling_KW,suspenseful_KW,suspenseful_KW,assassin_KW,suspenseful_KW,1990s_KW,husband_KW,true story_KW,true story_KW,ex-girlfriend_KW,father_KW,romance_KW,parent_KW,1970s_KW,true story_KW,wife_KW,estranged_KW,therapy_KW,1970s_KW,romantic_KW,daughter_KW,biographical_KW,brother_KW,wife_KW,pregnancy_KW,law enforcement_KW,wife_KW,romantic_KW,parent_KW,daughter_KW,father_KW,suspenseful_KW,romantic_KW,romantic_KW,true story_KW,Italy_KW,father_KW,crime_KW,siblings_KW,father_KW,suspenseful_KW,therapy_KW,assassin_KW,romance_KW,death_KW,motherhood_KW,mother_KW,father_KW,death of a parent_KW,crime_KW,wife_KW,divorce_KW,father_KW,father_KW,parent_KW,racy_KW,father_KW,father_KW,death of a sibling_KW,rebellion_KW,father_KW,New York_KW,father/daughter_KW,true story_KW,romantic_KW,tragic_KW,tradition_KW,true story_KW,father/son_KW,assassin_KW,1970s_KW,romantic_KW,legal_KW,crime_KW,father/son_KW,affair_KW,racy_KW,suspenseful_KW,true story_KW,daughter_KW,family_KW,motherhood_KW,assassin_KW,suspenseful_KW,political_KW,parent_KW,break-up_KW,family_KW,suspenseful_KW,deception_KW,sexy_KW,death_KW,father_KW,women_KW,betrayal_KW,killer_KW,relationship_KW,brother_KW,political_KW,true story_KW,son_KW,father_KW,brother_KW,celebrity_KW,son_KW,death of a parent_KW,female_KW,death_KW,wealthy_KW,father_KW,siblings_KW,love_KW,historical_KW,wedding_KW,compassion_KW,female_KW,biographical_KW,ex-girlfriend_KW,death of a spouse_KW,father/son_KW,father/son_KW,violence_KW,relationship_KW,father_KW,death_KW,parenthood_KW,crime_KW,dark_KW,scandal_KW,millionaire_KW,brother_KW,assassin_KW,suspenseful_KW,betrayal_KW,son_KW,fight_KW,terminally ill_KW,love_KW,suspenseful_KW,relationship_KW,deception_KW,money_KW,New York_KW,female_KW,political_KW,father/daughter_KW,suspenseful_KW,raunchy_KW,suspenseful_KW,Italy_KW,raunchy_KW,relationship_KW,separation_KW,assassin_KW,husband_KW,killer_KW,biographical_KW,father/daughter_KW,elderly_KW,law enforcement_KW,crime_KW,mother_KW,wrongly accused_KW,sex_KW,relationship_KW,true story_KW,female_KW,brother_KW,relationship_KW,ex-girlfriend_KW,seduction_KW,touching_KW,political_KW,brother_KW,fight_KW,true story_KW,culture_KW,death_KW,female protagonist_KW,death_KW,1970s_KW,relationship_KW,escape_KW,dark_KW,family_KW,violence_KW,international_KW,couple_KW,fight_KW,love_KW,crime_KW,money_KW,brother_KW,political_KW,brother_KW,dark_KW,suspenseful_KW,wrongly accused_KW,crime_KW,assassin_KW,death_KW,female protagonist_KW,family_KW,fashion_KW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
